Tweet_ID,Sentiment_Label,Probability_pos
1477085786352889866,negative,1.826475646890834e-08
1477085867835633664,positive,0.6824837810859113
1477092546270617602,negative,0.0009490076640143154
1477096251648880643,negative,0.0009490076640143154
1477082142102409221,negative,0.14135556969732616
1477082142102466561,neutral,0.5730549278511816
1477082142136049671,negative,0.004072632296018763
1477082142219935746,neutral,0.458452529704962
1477082142882598914,negative,0.005217680881316978
1477082143071162368,negative,0.009044614850507195
1477082143138406403,neutral,0.3899919663408251
1477082143188729866,negative,0.07682216023037108
1477082143620698115,negative,0.03503062060975563
1477082143734091781,negative,0.00013189490817443186
1477082143863951361,negative,0.004647161071449195
1477082144048435202,negative,0.00329703619566859
1477082144627380227,negative,0.002997350527765504
1477082145021743108,negative,0.06991371651849124
1477082145504088065,negative,0.0009543583729083305
1477082145516568578,negative,4.41899822500287e-06
1477082146200248324,neutral,0.3859754940453771
1477082148406452236,negative,0.09671238168919234
1477082148460969984,negative,0.011056610478735344
1477082148939075585,neutral,0.458452529704962
1477082149194919936,negative,0.014058405515840623
1477082149492695043,neutral,0.5136446707795853
1477082149517869056,negative,0.048200085691973614
1477082149912301568,negative,0.003086731667293233
1477082149979369483,negative,0.019889935697445304
1477082150012866567,negative,0.010847735789301203
1477082150272786435,neutral,0.458452529704962
1477082152403705856,neutral,0.4473423092644839
1477082152474865669,negative,0.1324922204386805
1477082153020276738,negative,0.00013450731149415593
1477082153041248257,negative,0.25901613542064644
1477082153376567297,negative,0.01825648304061152
1477082153384960002,negative,0.11208311592589137
1477082153691213830,negative,0.0064577027232720656
1477082153737506822,negative,0.0005875476535280249
1477082154379231235,negative,0.007021271848102665
1477082154475692036,neutral,0.458452529704962
1477082154496663555,positive,0.9858239092893967
1477082154643378179,neutral,0.3470334093241684
1477082156878811136,neutral,0.458452529704962
1477082157550034951,negative,0.008078823968134533
1477082157864599552,positive,0.8950526010546808
1477082157944299530,negative,0.27104476366586144
1477082158049243138,negative,0.0007970059674943053
1477082158145712137,negative,0.01710864127325928
1477082158258921473,negative,0.09530753741468509
1477082159169118212,negative,0.0995032116968069
1477082160104292358,negative,0.00035900945018024104
1477082160859385858,negative,0.036878595855236444
1477082160913780736,negative,0.010660569706353259
1477082161316605966,neutral,0.33129152124020544
1477082162000236545,neutral,0.458452529704962
1477082163354951680,negative,0.10954321965752611
1477082165485649922,negative,4.091312598350781e-05
1477082165867433984,negative,0.145779073095437
1477082166261596160,negative,0.19399898701570115
1477082166349676544,negative,0.12588301996978823
1477082167201067009,negative,0.26946072723466363
1477082167465234432,negative,2.1239453210930283e-08
1477082167691915267,negative,0.0012618910964853232
1477082167997911041,positive,0.6738504662802146
1477082168279154693,negative,0.07864342510659901
1477082168539111424,negative,8.739679662857157e-05
1477082168849408004,negative,0.008905856151747257
1477082169776517125,negative,0.0003515305676034944
1477082169868701701,negative,0.1509135279206999
1477082170149715974,negative,2.946933818423535e-06
1477082171391324165,negative,0.00018627531727517278
1477082171995156485,negative,0.04114095594789806
1477082173970784261,negative,0.00011984267118255396
1477082174901919747,negative,0.0012503654400759364
1477082176021794817,negative,0.007818395371514604
1477082176076271620,neutral,0.458452529704962
1477082176718098435,negative,0.0008439267541029441
1477082178165039110,negative,0.0003110055229658066
1477082178186002433,neutral,0.5520793197743142
1477082179079487491,negative,0.2777789941975352
1477082179385667587,negative,0.04752960024121569
1477082180207534084,negative,0.012108889364512335
1477082180396400646,negative,0.010000931940130329
1477082180782284803,negative,0.012108889364512335
1477082180790603776,negative,0.19399898701570115
1477082182929764359,neutral,0.458452529704962
1477082183026163717,negative,0.02311863943722699
1477082186545344516,neutral,0.36735591573300125
1477082186633256962,neutral,0.6166595342043167
1477082186717163522,negative,0.0008605032816553657
1477082187950440452,neutral,0.5230271910277728
1477082188025937928,negative,0.18405520718203158
1477082189103874052,negative,5.885076119477021e-10
1477082190861197313,negative,7.288403078595838e-06
1477082193084178435,negative,0.19399898701570115
1477082193159589888,negative,0.2213153490797191
1477082193537212418,neutral,0.49789225920557484
1477082193813987329,negative,0.0005077618497518239
1477082194640261124,neutral,0.5294065330779806
1477082195013652490,negative,0.06991371651849124
1477082195760017412,negative,0.000526749023115552
1477082195911065604,negative,0.00042409123841024774
1477082196406063104,negative,0.00011461594011709162
1477082197374898177,negative,0.0006435143523345953
1477082199195365376,negative,0.31820487300311295
1477082199333744652,negative,0.19320153659523295
1477082200516534274,neutral,0.49789225920557484
1477082200667525120,neutral,0.3766242581351902
1477082201359532045,negative,0.06991371651849124
