Tweet_ID,Hastag
1477082153737506822,#UMF🏥
1477082153762631680,#COVID19
1477082153762631680,#NewYearsEve
1477082153762631680,#NCpol
1477082153993256962,#AocMeltdown
1477082154043514880,#RememberTheDead
1477082154043514880,#Covid19
1477082156715294720,#BREAKING
1477082156740628482,#AbbottFailedTexas
1477082157017448452,#coronaprotest
1477082157017448452,#NeinzurImpfpflicht
1477082157017448452,#Covid
1477082157508182019,#XmasLectures
1477082157508182019,#Pan
1477082157550034951,#BajaCalifornia
1477082157550034951,#COVID19
1477082157621252098,#Pakistan
1477082158145712137,#MSPSaludPública
1477082158200238084,#omicron
1477082158439174145,#AocMeltdown
1477082158573441025,#PasseVaccinal
1477082158598705156,#COVID19
1477082158598705156,#txlege
1477082159169118212,#LoMásComentado
1477082159567544326,#BoosterImpfung
1477082160876212227,#Fox44sports
1477082161236918272,#watchnight
1477082161236918272,#bye2021
1477082161236918272,#hello2022
1477082161236918272,#iamame
1477082162646061056,#covid19
1477082163354951680,#COVID19
1477082163354951680,#JuntosSaldremosAdelante
1477082163925291009,#SongsThatDescribe2021
1477082165678649345,#Reparations
1477082165678649345,#StopBlackAme
1477082165867433984,#NACIONAL
1477082166873899008,#negligent
1477082166873899008,#CovidIDIOT
1477082167083732995,#WheresRon
1477082168279154693,#Medical
1477082168279154693,#GroupZirigoza
1477082168690155529,#COVID19
1477082170128752645,#COVID19
1477082170128752645,#Covid19
1477082170128752645,#covid
1477082170581729284,#ShineOn
1477082171684892672,#Kindness
1477082171684892672,#JoyTrain
1477082171684892672,#Joy
1477082171684892672,#Love
1477082171684892672,#MentalHealth
1477082171684892672,#Mindfulness
1477082171684892672,#GoldenHearts
1477082171684892672,#IA
1477082173358419970,#StrengthenYourWalk
1477082173358419970,#FindingHope
1477082173492678658,#StrengthenYourWalk
1477082173492678658,#FindingHope
1477082173836509184,#introvert
1477082174180540419,#OMICRON
1477082175828811779,#OkiCon
1477082176021794817,#COVID19
1477082176021794817,#Latinus
1477082176021794817,#InformaciónParaTi
1477082176550146049,#Melos
1477082176646754307,#mentalhealth
1477082177615638531,#SouthAfrica
1477082177615638531,#Omicron
1477082178156523523,#AOCLovesFlorida
1477082178156523523,#AOCLovesDeSantis
1477082178169233416,#edchat
1477082178169233416,#edreform
1477082178169233416,#edpolicy
1477082178169233416,#edcolo
1477082178403987458,#omicron
1477082179079487491,#ConLosRefugiados
1477082180396400646,#show
1477082180509650948,#ListExclusion
1477082180509650948,#DCstatehood
1477082180509650948,#VotingRights
1477082180509650948,#DCstatehoodNews
1477082180790763522,#staysafe
1477082180790763522,#wearamask
1477082180790763522,#hopeful
1477082180790763522,#gratitude
1477082180790763522,#thisistheyear
1477082180908199936,#peterpannekoek
1477082182439030787,#Easter
1477082182439030787,#Notebook
1477082182439030787,#Omicron
1477082182439030787,#Bradford
1477082182569140225,#MachineLearning
1477082182569140225,#DataScience
1477082182569140225,#Python
1477082182569140225,#AI
1477082182569140225,#IoT
1477082182569140225,#flutter
1477082182569140225,#javascript
1477082182569140225,#Serverles
1477082184368463880,#PN
1477082184548769793,#BuckleUpPhoneDown
1477082184548769793,#BUPD
1477082184548769793,#MoDOT
1477082184548769793,#MoDOTCentral
1477082186780139528,#MeAndMyNation
1477082186780139528,#YourNewsYourTimeYourWay
1477082186780139528,#TheSourceMatters
1477082187245801479,#Chiefs
1477082187283447813,#COVID19
1477082187283447813,#GetBoosted
1477082187698630659,#AlboForPM
1477082187707072514,#COVID19
1477082190227939330,#UNILAG
1477082190227939330,#SaturdayThoughts
1477082190227939330,#COVID19
1477082190227939330,#coronavirus
1477082190227939330,#E
1477082192685965313,#Journal
1477082192685965313,#Omicron
1477082192685965313,#Canterbury
1477082194149580810,#winning
1477082194694844417,#AocMeltdown
1477082194824904705,#Macron
1477082197744103425,#digestive
1477082198260039681,#itemsfantasmas
1477082198260039681,#Bolivia
1477082198260039681,#Bolivianos
1477082198260039681,#SantaCruz
1477082198260039681,#SantaCruzBo
1477082198260039681,#CORRUPCION
1477082198260039681,#racismo
1477082198260039681,#corruptos
1477082198260039681,#COVID19
1477082198260039681,#coronavirus
1477082198260039681,#indigenas
1477082198260039681,#collas
1477082198260039681,#cambas
1477082198260039681,#robodelsiglo
1477082198260039681,#pitita
1477082198260039681,#ladron
1477082198260039681,#senkata
1477082198260039681,#sacaba
1477082198260039681,#DDHH
1477082198260039681,#FernandoCamacho
1477082198260039681,#AngelicaSosa
1477082198260039681,#LaPaz
1477082198260039681,#ElAlto
1477082198260039681,#EvoMorales
1477082198788431873,#mentalhealth
1477082200122269704,#attitudeofgratitude
1477082200667525120,#DatosAbiertos
1477082200667525120,#COVID19
1477082200751460353,#VaxPei
1477082200885514240,#Omicron
1477082201367801857,#vt
1477082201950928897,#CouvreFeu
1477082201950928897,#COVID19
1477082201950928897,#polqc
1477082201950928897,#Quebec
1477082202126966784,#BarajasInsurance
1477082202126966784,#GoodNewsNetwork
1477082202126966784,#ActofKindness
1477082202126966784,#teen
1477082202454192129,#COVID19
1477082202454192129,#TheStanda
1477082203800678406,#Omikron
1477082203800678406,#ProtectTheKids
1477082203800678406,#schuetztdiekinder
1477082204110929920,#covid19bc
1477082204110929920,#b
1477082205268631554,#hellier
1477082205268631554,#nuuttipukki
1477082205985951749,#COVID19
1477082210029158406,#MarshallFire
1477082210029158406,#NewYear2022
1477082210029158406,#newyearseve
1477082210629046279,#remote
1477082210629046279,#success
1477082210629046279,#leadership
1477082210629046279,#management
1477082210629046279,#bookboost
1477082210629046279,#COVID
1477082210629046279,#stress
1477082212428222465,#BarajasInsurance
1477082212428222465,#GoodNewsNetwork
1477082212428222465,#ActofKindness
1477082212428222465,#teen
1477082213229420545,#BlackLivesMatter
1477082213229420545,#NickiMinaj
1477082213229420545,#MAGA
1477082213229420545,#Alberta
1477082213229420545,#Ontario
1477082213229420545,#Toronto
1477082213229420545,#health
1477082213229420545,#covid19
1477082213229420545,#Covid19
1477082213229420545,#cancer
1477082213229420545,#corruption
1477082213229420545,#sc
1477082214043164672,#CES2022
1477082214043164672,#events
1477082214043164672,#COVID19
1477082214043164672,#virtualevents
1477082214085140488,#COVID
1477082215884279808,#NewYear2022
1477082215884279808,#COVID19
1477082215884279808,#Omicron
1477082216429764608,#AEHoops
1477082218896007174,#OmicronVarient
1477082219298627589,#CES2022
1477082219298627589,#CES
1477082219298627589,#Covid19
1477082219298627589,#Omicron
1477082219613204481,#mtnews
1477082220238188554,#LeDesk
1477082220238188554,#Maroc
1477082220238188554,#C
1477082220556869636,#Omikron
1477082221043490817,#IfYouBelieveThis
1477082221651664900,#COVID
1477082223329177603,#proofdream
1477082223518138375,#ATEEZ
1477082223518138375,#AtinyFighting
1477082223518138375,#Wonderlandto100M
1477082224621195272,#COVIDー19
1477082225086812163,#OkiCon
1477082225745276929,#cañonazo
1477082225745276929,#havana
1477082225745276929,#cuba
1477082225745276929,#covid19
1477082226600914946,#COVID19
1477082227234287620,#SecurisezNosEcoles
1477082227234287620,#VagueBlanquer
1477082227234287620,#BlanquerMent
1477082227234287620,#BlanquerTUE
1477082227234287620,#BlanquerDemission
1477082227393634305,#chemtrails
1477082227393634305,#Barcelona
1477082228026920963,#Extra
1477082229331398657,#CoVid19
1477082229570293765,#GregAbbott
1477082229843152898,#Omicron
1477082231982235651,#AbbottFailedTexas
1477082232238055431,#NewYear
1477082232238055431,#COVID
1477082232238055431,#Omicron
1477082232833589251,#COVID19
1477082233965989888,#prévisions
1477082233965989888,#Omicron
1477082234641436672,#CouvreFeu
1477082236201672704,#Omicron
1477082236692447235,#COVID19
1477082236868513797,#En2021
1477082237115850752,#auspol
1477082237115850752,#Australia
1477082237115850752,#COVID19
1477082237501796353,#mentalhealth
1477082237501796353,#winter
